,"BTC / Addresses, active, count","BTC / NVT, adjusted, 90d MA","BTC / NVT, adjusted, free float,  90d MA","BTC / NVT, adjusted","BTC / NVT, adjusted, free float","BTC / Flow, in, to exchanges, USD","BTC / Flow, out, from exchanges, USD","BTC / Fees, transaction, mean, USD","BTC / Fees, transaction, median, USD","BTC / Fees, total, USD","BTC / Miner revenue, USD","BTC / Capitalization, market, free float, USD","BTC / Capitalization, realized, USD","BTC / Capitalization, market, current supply, USD","BTC / Capitalization, market, estimated supply, USD","BTC / Volatility, daily returns, 30d","BTC / Volatility, daily returns, 180d","BTC / Difficulty, last","BTC / Difficulty, mean","BTC / Hash rate, mean","BTC / Hash rate, mean, 30d","BTC / Revenue, per hash unit, USD","BTC / Supply, Miner, held by all mining entities, USD","BTC / Block, size, mean, bytes","BTC / Block, weight, mean","BTC / Issuance, continuous, percent, daily",BTC / Network distribution factor,"BTC / Transactions, count","BTC / Transactions, transfers, count","BTC / Transactions, transfers, value, mean, USD",Google_btc_search,Wiki_btc_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate
2011-08-10,19400.0,20.816968075869934,20.816959121426976,38.2158885,38.21587206,1423.7714926729032,3961.5432020868648,0.0133372659358915,0.0,107.36499078392688,76496.88875910676,70592433.06114595,47392272.22747655,70592463.42657597,,0.1060957524887253,0.1011351217419489,1888786.705353048,1888786.70535305,14.2715986521859,13.1522983533071,0.062037945328,22806273.122228734,22691.0986842105,90764.3947368421,0.108212010263357,0.49260392528,8050.0,19576.0,575.339682754553,3.468649816418171,,10719.9404296875,1120.760009765625,1781.300048828125,42.9900016784668,2381.050048828125,12.183533668518066,49.08650588989258,20.286394119262695,13.047859191894531,,48.96434783935547,45.26832962036133,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.4193
2011-08-11,18286.0,19.666403490252726,19.666395038969267,40.01820937,40.01819217,2477.0389337078204,1246.1398598636051,0.0089584374372088,0.0,66.97327828057347,64720.10229224902,66352958.585933134,47357204.14004773,66352987.09993689,,0.1064980308088837,0.1012879604291635,1888786.705353048,1888786.70535305,12.8632172062465,13.2158891074917,0.058233896389,21419389.19949547,22600.3065693431,90401.22627737226,0.0974381589130144,0.492165656811,7476.0,17307.0,265.5360291714624,3.468649816418171,,11143.3095703125,1172.6400146484375,1748.800048828125,39.0,2492.679931640625,12.64127254486084,51.244441986083984,21.43976402282715,13.594327926635742,,51.27427291870117,47.26205825805664,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.423
2011-08-12,17412.0,19.814251009125705,19.81424250223337,56.55290851,56.55288423,2103.614901431292,2051.8480394979465,0.0083553574820772,0.0,59.4567238424615,61976.56274198977,66517376.54781468,47401574.81006468,66517405.10586635,,0.1065180214326092,0.1012488845199523,1888786.705353048,1888786.70535305,12.2998646278708,13.1312038705211,0.058319449013,21443982.86777157,22828.6870229008,91314.74809160305,0.0930840671243904,0.491868173689,7116.0,15457.0,210.02206803793027,3.468649816418171,,11269.01953125,1178.81005859375,1740.199951171875,36.36000061035156,2507.97998046875,12.611327171325684,51.658416748046875,21.393266677856445,13.715767860412598,,51.54601287841797,47.68038558959961,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.4239
2011-08-13,19665.0,20.986002162684315,20.985993161036838,55.1489829,55.14895924,2049.3889314641256,1812.354557663405,0.0098878843569442,0.0,73.8031688402319,65099.964008699935,70459816.55709518,47487714.34522973,70459846.77984548,,0.1072491760245482,0.1013019269812389,1888786.705353048,1888786.70535305,12.2059725314748,13.1651166145674,0.061729764155,22693426.62551731,24830.2,99320.8,0.0922882518365906,0.49142558286,7464.0,18477.0,220.6416532002669,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.4239
2011-08-14,21211.0,22.71158536085081,22.71157562815921,77.90125287,77.90121949,1801.8140650444284,1193.5180446344589,0.0146530035014165,0.0,106.41011142728723,71431.42717039857,76185351.94259654,47609420.763271786,76185384.5906412,,0.1084529145175845,0.1013891464933253,1888786.705353048,1888786.70535305,12.3937567242667,13.1586697058314,0.066707185535,24510858.94459156,25803.25,103213.0,0.0936203412796488,0.490136936161,7262.0,21318.0,181.9595903103853,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.4239
2011-08-15,18940.0,23.408213028201644,23.40820300615069,70.4038207,70.40379056,3796.550868711187,1015.2062541865567,0.0132880039957587,0.0055653482749854,106.67609607795202,71899.6688433896,78540387.25810434,47729602.11255961,78540420.88459688,,0.1086712868947803,0.1013706691278592,1805700.836193673,1884278.16981727,12.0831688883706,13.1548196264198,0.068870351874,25257305.57338454,28782.3565891473,115129.42635658916,0.0914089737980911,0.48924139139,8028.0,18062.0,205.591027726799,3.468649816418171,,11482.900390625,1204.489990234375,1755.5,31.8700008392334,2555.199951171875,12.808112144470215,52.627288818359375,22.00251007080078,13.956398010253906,,52.574798583984375,48.383541107177734,0.0,,17031.313,54482.0,0.469448249443484,9480.6,1.4452
2011-08-16,20993.0,23.10379821422214,23.103788332796967,60.98096972,60.98094364,3133.394174380253,2898.4087115126854,0.0112355853775435,0.0054959827834599,107.17624891638734,80898.12316577765,77642265.06291924,47864886.28706838,77642298.27029729,,0.1085599900573334,0.1013881195832774,1805700.836193673,1805700.83619368,13.1949956893324,13.1543610716858,0.070960301316,24955415.37341364,27645.6734693878,110582.69387755102,0.104055326435086,0.489455007998,9539.0,21689.0,162.71455113225647,3.468649816418171,,11405.9296875,1192.760009765625,1782.4000244140625,32.849998474121094,2523.449951171875,12.598494529724121,52.00192642211914,21.43511390686035,13.798975944519043,,51.71100997924805,47.974090576171875,0.0,,17031.313,54482.0,0.469448249443484,9480.6,1.4421
2011-08-17,20652.0,22.97439928129918,22.9743894646679,41.69372728,41.69370947,2401.9193158069725,1096.1547438355658,0.0099877760229434,0.0,75.69735447788872,74630.65293600889,77519030.03167608,47993145.99230102,77519063.15445991,,0.1083741202622585,0.1006948871067035,1805700.836193673,1805700.83619367,12.2076150595184,13.1209898292913,0.07075753135,24874733.412227884,25836.7426470588,103346.9705882353,0.0961762856098727,0.491519048332,7579.0,18821.0,190.89568279229127,3.468649816418171,,11410.2099609375,1193.8900146484375,1791.199951171875,31.579999923706055,2511.47998046875,12.559992790222168,51.55271911621094,21.29094123840332,13.675287246704102,,51.03162384033203,47.689292907714844,0.0,,17031.313,54482.0,0.469448249443484,9480.6,1.4436
2011-08-18,20917.0,22.74601786125613,22.74600814888233,72.20724056,72.20720973,3138.747517846372,2198.558967633832,0.0087930689559335,0.0,65.92163796263377,78246.916120254,76851341.72899188,48090150.43453273,76851374.54393479,,0.1082990931878665,0.1006757249984593,1805700.836193673,1805700.83619367,12.9257100630195,13.1781411403151,0.070064669471,24619281.99445752,22430.6736111111,89722.69444444444,0.101730118616937,0.491233089591,7497.0,20861.0,210.49323928113324,3.468649816418171,,10990.580078125,1140.6500244140625,1818.9000244140625,42.66999816894531,2380.429931640625,11.939692497253418,48.72538757324219,19.900381088256836,12.964649200439453,,47.770572662353516,45.34844207763672,0.0,,17031.313,54482.0,0.469448249443484,9480.6,1.432
2011-08-19,21995.0,24.529566973401767,24.52955650915054,49.31867934,49.3186583,3852.9758727658286,1813.3071514425485,0.0122467970635543,0.0,90.24664756133228,76531.84508084621,82674762.70011991,48223608.23372321,82674797.96897964,,0.1092803667727331,0.1004837121368163,1805700.836193673,1805700.83619367,11.7588056823302,13.1526287278422,0.075329524777,26461282.71236917,26860.4351145038,107441.74045801528,0.0924605808676623,0.49145609366,7369.0,20704.0,310.660557146784,3.468649816418171,,10817.650390625,1123.530029296875,1848.9000244140625,43.04999923706055,2341.840087890625,11.700130462646484,47.45705795288086,19.551576614379883,12.602585792541504,,46.80972671508789,44.529571533203125,0.0,,17031.313,54482.0,0.469448249443484,9480.6,1.4408
