,"LTC / Addresses, active, count","LTC / NVT, adjusted, 90d MA","LTC / NVT, adjusted, free float,  90d MA","LTC / NVT, adjusted","LTC / NVT, adjusted, free float","LTC / Fees, transaction, mean, USD","LTC / Fees, transaction, median, USD","LTC / Fees, total, USD","LTC / Miner revenue, USD","LTC / Capitalization, market, free float, USD","LTC / Capitalization, realized, USD","LTC / Capitalization, market, current supply, USD","LTC / Capitalization, market, estimated supply, USD","LTC / Volatility, daily returns, 30d","LTC / Volatility, daily returns, 180d","LTC / Difficulty, last","LTC / Difficulty, mean","LTC / Hash rate, mean","LTC / Block, size, mean, bytes","LTC / Block, weight, mean","LTC / Issuance, continuous, percent, daily",LTC / Network distribution factor,"LTC / Transactions, count","LTC / Transactions, transfers, count","LTC / Transactions, transfers, value, mean, USD",Google_ltc_search,Wiki_ltc_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate
2013-07-31,9626.0,54.695441979739314,54.695418229551045,57.78780124,57.78777614,0.0432883173484153,0.0002776442228374,166.8331750607929,69161.42255016066,55319141.77532434,38036655.98811409,55319165.79634977,,0.0619644342881432,,892.552834309726,892.552834309737,0.0220514138999569,5054.46277665996,20217.85110663984,0.124720950473285,0.805506343361,3854.0,9158.0,397.2536489955215,0.7419354838709677,,15499.5400390625,1685.72998046875,1312.4000244140625,13.449999809265137,3626.3701171875,16.85373306274414,70.0787353515625,26.835018157958984,17.692813873291016,,71.47137451171875,69.04579162597656,0.0,,17860.45,56272.0,1.93763912918861,10647.7,1.3282
2013-08-01,9121.0,54.2619135936207,54.2618900624473,51.75089281,51.75087037,0.0370734845671326,0.0002742531706253,129.9054899232329,71572.85643783082,54714935.52252035,38088486.1885935,54714959.25016114,,0.0617463266184114,,892.552834309726,892.552834309738,0.0231162709092104,4325.99040307102,17303.96161228407,0.130572976617354,0.805036636805,3504.0,8436.0,401.199338699007,0.8064516129032258,,15628.01953125,1706.8699951171875,1311.0,12.9399995803833,3675.739990234375,17.06352996826172,70.90519714355469,27.057029724121094,17.880615234375,,72.56312561035156,69.7474594116211,0.0,,17860.45,56272.0,1.47496616149788,10647.7,1.3217
2013-08-02,9335.0,53.00718040719204,53.00715745236158,64.80241639,64.80238833,0.0373263390485437,0.000267,138.406065192,74898.406065192,53342650.21691548,38160738.738704175,53342673.31703162,,0.0601538453233752,,821.9254853442262,840.212923915662,0.0233896381567224,3343.78035714286,13375.121428571429,0.140150456194197,0.803883188995,3708.0,8999.0,326.9217142972681,0.8064516129032258,,15658.3603515625,1709.6700439453125,1310.5999755859375,11.979999542236328,3689.590087890625,16.97174644470215,71.28251647949219,26.768877029418945,17.951614379882812,,72.4559097290039,70.1393051147461,0.0,,17860.45,56272.0,1.47496616149788,10647.7,1.3268
2013-08-03,9778.0,55.82990160119758,55.829877458303656,55.95261008,55.95258589,0.0364188600851013,0.0002774085478902,132.2004621089175,78916.22806293197,55500908.13730329,38262311.56790777,55500932.137938775,,0.0604099496592919,,821.9254853442262,821.925485344238,0.0232074220954141,4270.19894366197,17080.795774647886,0.141950818780877,0.799817882454,3630.0,8809.0,382.33990337357193,0.8064516129032258,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.47496616149788,10647.7,1.3268
2013-08-04,9552.0,56.7610575233042,56.76103301198707,65.64276064,65.6427323,0.0460346948319199,0.0002763900649974,187.54534674524237,77438.56851354426,55374392.09597722,38340027.07454865,55374416.00849632,,0.0575638478806276,,821.9254853442262,821.925485344238,0.0228396988579868,4053.58676207513,16214.347048300537,0.13950670496452,0.798735562957,4074.0,10342.0,297.02794941341125,0.8064516129032258,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.47496616149788,10647.7,1.3268
2013-08-05,10406.0,57.43161377986832,57.43158901939554,45.11639736,45.1163779,0.0512137438196445,0.0002762206938214,222.3188619210768,90546.48574152804,55430782.96676237,38431922.07322178,55430806.864627935,,0.052774294055494,,838.419456305244,826.465110379367,0.0268688074735917,3750.42354740061,15001.694189602447,0.162949399420064,0.79889568703,4341.0,10870.0,366.0456882035794,0.8064516129032258,,15612.1298828125,1707.1400146484375,1302.5999755859375,11.84000015258789,3692.949951171875,16.96299934387207,71.48912811279297,26.891695022583008,18.008874893188477,,72.59236907958984,70.18484497070312,0.0,,17860.45,56272.0,1.47496616149788,10749.7,1.3257
2013-08-06,10252.0,54.59879434203877,54.598770837548,50.79447134,50.79444948,0.0398117709224924,0.0002625455533138,153.35494159344128,77866.83872249363,52764227.96352877,38496086.91216595,52764250.678258255,,0.0523453455714749,,838.419456305244,838.41945630523,0.024673409883511,5046.26351351351,20185.054054054053,0.147284350259753,0.798869695112,3852.0,9376.0,375.4831621944328,0.8064516129032258,,15518.740234375,1697.3699951171875,1283.199951171875,12.720000267028809,3665.77001953125,16.85373306274414,71.01300048828125,26.589387893676758,17.866870880126953,,72.13421630859375,69.76565551757812,0.0,,17860.45,56272.0,1.47496616149788,10749.7,1.3296
2013-08-07,10914.0,57.09780798155145,57.09778343849576,57.27323949,57.27321488,0.0562346578220529,0.0002734343166569,236.6916747730211,83634.15825513545,55035958.78416164,38586830.52968426,55035982.440957405,,0.0523197913794173,,838.419456305244,838.41945630523,0.0254236149137529,5031.65901639344,20126.63606557377,0.151532620808271,0.798714463309,4209.0,10602.0,361.4329261070959,0.8064516129032258,,15470.669921875,1690.9100341796875,1286.0999755859375,12.979999542236328,3654.010009765625,16.700756072998047,70.81537628173828,26.216217041015625,17.83938980102539,,71.91974639892578,69.63811492919922,0.0,,17860.45,56272.0,1.47496616149788,10749.7,1.3329
2013-08-08,9736.0,53.63962822056462,53.63960519738163,24.64547527,24.64546469,0.0386147509176256,0.000259,148.9757090402,75776.9757090402,52206295.06247607,38477448.201321736,52206317.470453896,,0.0534234294489995,,838.419456305244,838.419456305231,0.0243399854256257,4207.31678082192,16829.26712328767,0.144863694020942,0.798413384676,3858.0,9672.0,486.58448402167534,0.8064516129032258,,15498.3203125,1697.47998046875,1310.699951171875,12.729999542236328,3669.1201171875,16.705121994018555,71.14774322509766,26.235111236572266,17.935583114624023,,72.59236907958984,69.98439025878906,0.0,,17860.45,56272.0,1.47496616149788,10749.7,1.3392
2013-08-09,8951.0,50.6779389998909,50.67791727911927,67.40211339,67.4020845,0.0384777272716857,0.0,133.44075817820638,70266.6875321877,48901455.72092912,38562386.75330922,48901476.68030173,,0.0472751921581778,,867.7640330958023,865.229959106976,0.024903261629569,4091.94300518135,16367.772020725388,0.143417441629652,0.797706516383,3468.0,8817.0,134.3167912315303,0.8064516129032258,,15425.509765625,1691.4200439453125,1312.9000244140625,13.40999984741211,3660.110107421875,16.661413192749023,70.87825775146484,26.079225540161133,17.860004425048828,,72.5241470336914,69.70191955566406,0.0,,17860.45,56272.0,1.47496616149788,10749.7,1.3338
