,BTC / Active Addr Cnt,BTC / Tx Cnt,BTC / Miner Revenue per Hash (USD),BTC / Mean Hash Rate,BTC / 30 Day Volatility,BTC / Realized Market Cap (USD),BTC / Mean Tx Fee (USD),BTC / Exchange Withdrawals (USD),BTC / Exchange Deposits (USD),BTC / NVT,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,LTC / NVT,LTC / Mean Tx Fee (USD),LTC / Realized Market Cap (USD),LTC / 30 Day Volatility,LTC / Mean Hash Rate,LTC / Tx Cnt,LTC / Active Addr Cnt
2013-05-09,,,,,,,,,,,,,,,,,,,,,49.33574845,0.2481382795020391,28455057.979015537,0.2646808874331909,0.0173051586073662,12794.0,20473.0
2013-05-10,,,,,,,,,,,,,,,,,,,,,46.08441551,0.2252787357285286,28659145.40816068,0.2620540514996395,0.0172818048170729,10481.0,18002.0
2013-05-11,,,,,,,,,,,,,,,,,,,,,39.83939584,0.1941617017248143,28962959.173729617,0.2603075510006776,0.0174181876862619,6971.0,14213.0
2013-05-12,,,,,,,,,,,,,,,,,,,,,52.12865826,0.1803638856787443,29038098.42588833,0.1962234562740499,0.0182479302448917,6936.0,13950.0
2013-05-13,,,,,,,,,,,,,,,,,,,,,64.45208344,0.1758772353252044,29217028.195961304,0.1313099051115201,0.0171204158557764,6588.0,13577.0
2013-05-14,,,,,,,,,,,,,,,,,,,,,34.42588102,0.186028176170066,29458496.721527644,0.1221814331232802,0.0176259082946709,7235.0,14433.0
2013-05-15,,,,,,,,,,,,,,,,,,,,,39.57171539,0.1557872097785447,29297329.25905814,0.123242597704145,0.0167960470404855,6516.0,13313.0
2013-05-16,,,,,,,,,,,,,,,,,,,,,46.01969006,0.1288014046789539,29145023.6624682,0.1353608759059229,0.0171572523531841,7395.0,14544.0
2013-05-17,,,,,,,,,,,,,,,,,,,,,73.48213333,0.1896636336165534,29316654.709456243,0.1511889227891607,0.0160736364150882,6675.0,13214.0
2013-05-18,,,,,,,,,,,,,,,,,,,,,61.53418153,0.1465942283905687,29389990.32751668,0.152582368402459,0.0163330336250565,5638.0,11868.0
2013-05-19,,,,,,,,,,,,,,,,,,,,,69.14161319,0.1511108537658947,29486380.002909888,0.1433984950022266,0.0160079200021166,5614.0,11897.0
2013-05-20,,,,,,,,,,,,,,,,,,,,,54.93386532,0.1764825093614289,29601287.66217817,0.143255324385702,0.016155322580405,6438.0,13370.0
2013-05-21,,,,,,,,,,,,,,,,,,,,,43.15986162,0.1761738615892038,29534823.540346324,0.143255324385702,0.0158257948022351,6165.0,12700.0
2013-05-22,,,,,,,,,,,,,,,,,,,,,68.70583754,0.1608314948112831,29604935.8856468,0.1432516029291579,0.0154813665945338,5339.0,11302.0
2013-05-23,,,,,,,,,,,,,,,,,,,,,63.24692696,0.1690901686418738,29694312.69703018,0.1419477832433311,0.0171737740537929,5964.0,12420.0
2013-05-24,,,,,,,,,,,,,,,,,,,,,55.51360906,0.1670586198440585,29738870.771891616,0.1410688589907808,0.0182003162831796,6000.0,12583.0
2013-05-25,,,,,,,,,,,,,,,,,,,,,76.12193358,0.1646447909665845,29807935.49559134,0.1342988179947439,0.0182614191976347,4985.0,10931.0
2013-05-26,,,,,,,,,,,,,,,,,,,,,47.04692573,0.18085276982225,29930574.141360853,0.1358065012027735,0.0168777546799745,5218.0,11423.0
2013-05-27,,,,,,,,,,,,,,,,,,,,,64.60844373,0.1550260711932401,30044998.979607623,0.1358065012027735,0.0165816537206767,4867.0,10660.0
2013-05-28,,,,,,,,,,,,,,,,,,,,,63.27735451,0.1500932117489729,30166558.11431065,0.1358266900985645,0.0173161863071689,5111.0,11250.0
2013-05-29,,,,,,,,,,,,,,,,,,,,,59.38465903,0.1605182784795061,30309045.48805806,0.1358538125808116,0.0176360714957036,5103.0,11087.0
2013-05-30,,,,,,,,,,,,,,,,,,,,,67.75809792,0.1615079395646864,30385817.900423992,0.1354564337396436,0.0183846314063871,5220.0,11259.0
2013-05-31,,,,,,,,,,,,,,,,,,,,,41.76162067,0.1423518725749259,30522909.66196063,0.1354359109512188,0.0179654378564044,5071.0,11123.0
2013-06-01,,,,,,,,,,,,,,,,,,,,,35.52518957,0.1494561121494682,30173804.5005558,0.1250110322489749,0.0175416369604435,4266.0,9523.0
2013-06-02,,,,,,,,,,,,,,,,,,,,,53.41560106,0.1286450637163307,30235706.924959987,0.1222175756250187,0.017564508799046,4533.0,9882.0
2013-06-03,,,,,,,,,,,,,,,,,,,,,52.69982505,0.1537716474920537,30362808.86721636,0.1227194531548589,0.0173786409810667,4467.0,9981.0
2013-06-04,,,,,,,,,,,,,,,,,,,,,55.12643623,0.1550228527953177,30451257.70195841,0.1227223984863681,0.0165429822443354,4549.0,10279.0
2013-06-05,,,,,,,,,,,,,,,,,,,,,53.75261173,0.1664707045033956,30501883.268981315,0.1227396236216945,0.0180930830708358,4712.0,10321.0
2013-06-06,,,,,,,,,,,,,,,,,,,,,71.93509104,0.141245088625106,30573161.184923623,0.11633804349353,0.0176422587418282,4473.0,9840.0
2013-06-07,,,,,,,,,,,,,,,,,,,,,74.22556324,0.1890706804248685,30645492.706164114,0.1164423079137048,0.0197761605657973,4893.0,10628.0
2013-06-08,,,,,,,,,,,,,,,,,,,,,64.95187877,0.1375402888507097,30683678.45307668,0.1197016103061136,0.0205334747887071,4440.0,9735.0
2013-06-09,,,,,,,,,,,,,,,,,,,,,63.37257484,0.1263570107322404,30657329.52676471,0.1200480603309866,0.0175848746395468,5056.0,10765.0
2013-06-10,,,,,,,,,,,,,,,,,,,,,20.00109458,0.135268501403141,32125655.5191063,0.1204380212689451,0.018219707659025,5433.0,11360.0
2013-06-11,,,,,,,,,,,,,,,,,,,,,37.29546317,0.154987114289335,32695835.05303673,0.1204318937480746,0.0180614662997604,4848.0,13896.0
2013-06-12,,,,,,,,,,,,,,,,,,,,,42.99807641,0.1304160527496191,32554361.64854152,0.1205937792663233,0.0205994754282647,4595.0,10034.0
2013-06-13,,,,,,,,,,,,,,,,,,,,,87.26341096,0.1275870238713712,32637983.33394485,0.1207226094285066,0.0200173866406528,4478.0,9928.0
2013-06-14,,,,,,,,,,,,,,,,,,,,,21.44449585,0.1179744347749948,32399088.169906206,0.1167310694469658,0.0216016063388337,4831.0,10660.0
2013-06-15,,,,,,,,,,,,,,,,,,,,,60.47125508,0.1168759019490663,32388761.593483463,0.1037606430146699,0.0165178389311422,3454.0,8389.0
2013-06-16,,,,,,,,,,,,,,,,,,,,,70.30362887,0.116287541097643,32395630.25503842,0.0572156452986434,0.0168722989940422,3564.0,8364.0
2013-06-17,,,,,,,,,,,,,,,,,,,,,60.94047974,0.1198581946775274,32437718.9544971,0.0500767637310622,0.0185028152833825,4008.0,9117.0
2013-06-18,,,,,,,,,,,,,,,,,,,,,92.42389026,0.1470581832137134,32535188.90319968,0.0535808577314768,0.0208572680613981,4325.0,10194.0
2013-06-19,,,,,,,,,,,,,,,,,,,,,60.64437292,0.1295583776940295,32603723.78587659,0.0543729233951217,0.022715018211622,4862.0,10389.0
2013-06-20,,,,,,,,,,,,,,,,,,,,,63.33270015,0.097259246007572,32662343.729068093,0.055301247319967,0.0216438523042778,3962.0,9529.0
2013-06-21,,,,,,,,,,,,,,,,,,,,,52.8970887,0.081502620172363,32759928.97447928,0.0638917520845671,0.0198779183529277,4549.0,11121.0
2013-06-22,,,,,,,,,,,,,,,,,,,,,27.68365307,0.0817879513966117,33381450.585743744,0.0653034660051636,0.0204431746392133,5374.0,12714.0
2013-06-23,,,,,,,,,,,,,,,,,,,,,30.42545538,0.0711725387216466,34165589.145030275,0.0661364538929072,0.0234113306666853,4397.0,10499.0
