,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,Google_eth_search,Wiki_eth_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate,ETH-USD
2015-02-23,,,,,,,,,,,0.6363636363636364,,18116.83984375,2109.659912109375,1200.300048828125,14.5600004196167,4960.97021484375,25.186702728271484,98.59141540527344,40.472312927246094,25.326679229736328,30.052528381347656,19.074687957763672,100.2795639038086,0.02,,18666.621,58121.0,-0.07911733,11850.4,1.1346,
2015-02-24,,,,,,,,,,,0.6363636363636364,,18209.189453125,2115.47998046875,1196.9000244140625,13.6899995803833,4968.1201171875,25.705461502075195,98.83470153808594,41.450172424316406,25.387069702148438,30.12504005432129,19.098207473754883,100.35350799560547,0.02,,18666.621,58121.0,-0.07911733,11850.4,1.1307,
2015-02-25,,,,,,,,,,,0.6363636363636364,,18224.5703125,2113.860107421875,1201.0,13.84000015258789,4967.14013671875,25.53105354309082,98.33007049560547,41.29352951049805,25.205896377563477,29.9709415435791,19.1825008392334,100.10400390625,0.02,,18666.621,58121.0,-0.07911733,11850.4,1.1363,
2015-02-26,,,,,,,,,,,0.6363636363636364,,18214.419921875,2110.739990234375,1209.5999755859375,13.90999984741211,4987.89013671875,25.62496566772461,98.9338150024414,41.75872039794922,25.389381408691406,30.143171310424805,19.354997634887695,100.61223602294922,0.02,,18666.621,58121.0,-0.07911733,11850.4,1.1212,
2015-02-27,,,,,,,,,,,0.6363636363636364,,18132.69921875,2104.5,1212.5999755859375,13.34000015258789,4963.52978515625,25.477388381958008,98.41116333007812,41.75872039794922,25.26396369934082,29.998136520385742,19.270708084106445,100.16867065429688,0.02,,18666.621,58121.0,-0.07911733,11850.4,1.1197,
2015-02-28,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.07911733,11850.4,1.1197,
2015-03-01,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.100926,11850.4,1.1197,
2015-03-02,,,,,,,,,,,0.6363636363636364,,18288.630859375,2117.389892578125,1207.699951171875,13.039999961853027,5008.10009765625,26.148197174072266,99.33930969238281,42.8267936706543,25.496227264404297,30.288225173950195,19.345195770263672,101.07427215576172,0.02,,18666.621,58121.0,-0.100926,11927.6,1.119,
2015-03-03,,,,,,,,,,,0.6363636363636364,,18203.369140625,2107.780029296875,1204.0,13.859999656677246,4979.89990234375,25.718875885009766,98.57337951660156,42.19069290161133,25.294158935546875,30.052528381347656,19.104095458984375,100.60298919677734,0.02,,18666.621,58121.0,-0.100926,11927.6,1.1212,
2015-03-04,,,,,,,,,,,0.6363636363636364,,18096.900390625,2098.530029296875,1200.5999755859375,14.229999542236328,4967.14013671875,25.678630828857422,98.23995971679688,42.28087615966797,25.198930740356445,29.93466567993164,18.88846778869629,100.2148666381836,0.02,,18666.621,58121.0,-0.100926,11927.6,1.107,
